name,description
RESULTS - Global and Domestic  Activists,"<p>RESULTS is a citizen mostly volunteer Advocacy group- who for the past 35 years has been committed to the eradication of poverty and related issues wherever it exists . We achieve our goals by changing the public and the political will. Meaning - we work directly with members of congress , NGO's , and the Media to affect changes that will make the most difference to the most vulnerable among us all over the globe - in areas like , education, Healthcare, earned -income tax credits, SNAP, Immunizations , Eradicating AIDS, TB and Malaria, improving Maternal and Child Health Outcomes .</p> 
<p>Who should join is anyone who shares these commitments, who may be feeling frustrated and powerless especially during the time of political confusion in this country and abroad - Anyone who has four hours free a month and anyone who feels that they cannot make a difference in the world or don't make a difference . We know each of us counts and we support you to know it too!</p>"
San Jose Friends of the Pod (20s/30s),"<p>https://getcrookedmedia.com/here-have-a-podcast-78ee56b5a323</p>
<p>Do you listen to Pod Save America? Would you like to discuss the week's episodes with like-minded individuals for emotional support and a bit of fun? It's like a book club, but for a podcast. A pod club.&nbsp;</p>
<p>Would you like to vent to other liberals about the sad state of politics in our country? <br>Would you like to attempt to get involved in grassroots organizing to try to turn it all around? (I say attempt because I have no idea, but I'd like to try with help from others)</p>
<p>How about we do all of this while grabbing a drink to numb the disappointment? I'll be like happy hour, but for discouraged, young, liberals. Sounds like fun to me!</p>
<p>We should be open-minded and courteous during these discussions if/when we disagree. The Podcast episodes are a guideline for the topics of discussion, but feel free to bring up any other relevant topics.&nbsp;</p>
<p><br></p>"
World Government & No Militaries,"<p>This group is for people who can envision a united world under a world government. Humanity will eventually establish a world government one way or another. It will either be formed before WW3 - the hard way, or it will happen after WW3 when humans will realize what fools they've been.</p>"
Friends of the Pod / Progressive News Junkies,"<p><span>Meet for dinner and vent about politics! I just moved to the Bay Area and I'm looking to meet people who love talking about progressive politics, who are possibly into activism or maybe just want to get into it about life in the era of Trump. Maybe you're into political podcasts like Pod Save America/the World/the People, Lovett or Leave it, NPR Politics Podcast, 538, maybe you check the NYtimes several times a day, maybe you love Trevor Noah, Samantha Bee etc., maybe you've been to a protest or two or many...or maybe you just want to have dinner and talk politics. If so this is for you!&nbsp;</span> <br></p>
<p>Please note, this meetup takes it for granted that papers of record such as the New York Times and Washington Post are, for the most part, trustworthy and reliable. If you feel certain that the government has engaged in conspiracies that these papers have failed to report or that these publications constitute 'fake news', this meetup may not be a good fit for you!</p>
<p><span>First meetup is in San Mateo but if there is interest from people living in SF/East Bay we could have meetup dinners in the city. Leave a message on the group page if you have a suggestion for where you'd like to meet.</span> <br></p>"
Placer Women Democrats Monthly Meetup,"<p>Please join PWD and our friends at Placer Stonewall Democrats for a happy hour meet and greet. We will exchange ideas, share information and share what's happening with the #resistance in South Placer County!</p>"
Reformers for a New America,"<p><b><i>Our troubled age, and our mission -</i></b></p>
<p>In 21st century America, our most vital institutions - healthcare, education, government, the military, the media, the courts, and so forth - &nbsp;have been overtaken by a small group of financial elites, who have so entrenched and solidified their power through the accumulation of wealth, via the mechanisms of capitalism, that change has become all but impossible to enact within our current captive federal and local governments. In prolonged, unwinnable wars benefiting only defense contractors, environmental policy allowing for the oil industry's continued rape of the earth and contribution to ever-worsening climate change, crumbling infrastructure, and profit motivated deregulation resulting in, for one, the exposure of children to lead in their drinking water, the consequences of this seizure of power have infected, and are continuing to poison, day by day, the health of our citizenry.</p>
<p>While such corruption plays out, negatively effecting all in our nation but the few who are responsible for it, we as Americans remain divided over issues such as political affiliation and race. We forget in the midst of our fighting that our two political tribes, Democrat and Republican, are equally inept to meet our needs as individuals as long as they remain in the pockets of the wealthy, and special interests. And while the racism we see today cannot be said to be the result of class alone, having its roots as well in historical oppression, it has been inflamed severely by the marginalization and humiliation of impoverished peoples of all colors due to the widening wealth gap.</p>
<p>The purpose of this group is thus to unite all - black, white, brown, people of every color, background, and creed - under the goal of reforming our nation so as to allow each and every individual equal opportunity to flourish, and to live free from poverty and the worry of poverty, on a clean, healthy planet. In so doing we seek to finally live up to the proclamation of our Declaration of Independence that all men are created equal, and to thus make our nation into what it should have been from the start.</p>
<p>Our means of systematic change will be massive nonviolent, non-cooperation with our current government, such that not a drop of blood will need to be shed for the purposes of taking back our power. All that will be needed will be a collective decision from the mass of citizenry, including law enforcement and military, that enough is enough, and we will not be challenged by the minority who are left to oppose us. It will then be left for us as citizenry to convene a new Continental Congress, as our founders once did, where we will debate and discuss, as they once did, the new, better nation that we wish to build out of the ashes of the old.</p>
<p>--</p>
<p>For more -</p>
<p><a href=""https://www.youtube.com/watch?v=zwOg0bvHeqU"">https://www.youtube.com/watch?v=zwOg0bvHeqU</a></p>
<p> <br></p>"
Communist alternative,"<p>This group is open to anyone interested in discussing a communist alternative to capitalist profit system that creates racism, sexism, nationalism and imperialist wars. The topics will be discussed around the ideas of International Communist Workers Party (ICWP) and its newspaper Red Flag. For more info: <a href=""https://icwpredflag.org/"" class=""linkified"">https://icwpredflag.org/</a></p>"
Represent.Us Silicon Valley,"<p>Represent.Us is a non-partisan grassroots organization dedicated towards clean elections not influenced by big money and complete fidelity of elected officials to constituent needs rather than fidelity to personal gain (for example, political support, power, money, etc.) in the San Francisco peninsula and south bay.</p> 
<p>Bring together conservatives, progressives, and everyone in between to reduce corruption* in the San Francisco peninsula and south bay geographies by driving:<br> - Campaign finance reform<br> - Campaign finance disclosure standards<br> - Representative districting<br> - Election process reform<br> - Public financing</p> 
<p>Our strategy revolves around passing laws throughout the different towns and cities of Silicon Valley, as well as the state of California. We are a local chapter of a national organization that has passed binding legislation regarding campaign finance reform in places like Florida, South Dakota, Seattle, Massachusetts, Maine, and many other jurisdictions, including the city of San Francisco itself, where we have another chapter. The national organization includes on its board figures like Trevor Potter, former FEC chair, and Larry Lessig, outspoken critic of how money turns heads in American politics. Learn more about our national organization at www.represent.us.</p> 
<p>Feel free to ask us any questions on how elections and money work in the Bay Area or in California, and how you can help towards making elections represent people instead of dollars.</p>"
American People's National Party,"<p>We are a grassroots social political movement Learn more at AmericanPNP.com. Our philosophy: 1: The American people, regardless of color, gender, sexual orientation are the greatest people on earth. 2: American greatness is only fully realized when we all love one another and become a true community. It starts with the person in the mirror and making a change. 3: Our government's only priority is to make the American people the strongest, richest, and most united nation on earth.</p>"
RESULTS Contra Costa County,"<p>If you want to learn how to influence the U.S. Congress to support and fund policies and programs that are bringing an end to poverty around the world and in the U.S., join the Contra Costa County chapter of RESULTS.</p>
<p>RESULTS is a grassroots organization of passionate, committed, everyday people. We use our voices to influence political decisions that will bring an end to poverty. As volunteers, we receive training, support, and inspiration to become skilled advocates. We learn how to effectively influence policy makers, guiding them toward decisions that improve access to health, education, and economic opportunity. Together we realize the incredible power we possess to use our voice to change the world.</p>
<p><a class=""embedded"" href=""https://www.youtube.com/watch?v=m2X674DjySU"">https://www.youtube.com/watch?v=m2X674DjySU</a></p>"
Mission YIMBY,"<p>We want to build more housing in San Francisco so we can welcome new people into our community without displacing long term residents.</p> 
<p>We believe in affordable housing for everyone; that means we must build more of all kinds of housing. We are strongly in favor of subsidized affordable housing to ensure that people from every income bracket can share in our beautiful and vibrant city. And we are also in favor of market rate housing because not everyone qualifies for subsidized below-market rate housing.</p> 
<p>We must ensure the middle class can live here by lowering the cost of construction, making it easier to build, upzoning the west side, and concentrating dense housing around public transit. San Francisco is for everyone!</p>"
Art and Activism Santa Rosa,"<p>Are you an artist? writer? performer? Have you ever felt frustrated? Felt that you have no voice and few people in your current community who share your values?<br>This Meet-up is for all creatives, thinkers, performers, and makers who concerned with social equality, feminism, politics, and equal rights. <br>Totally open to anyone who wishes to have informed, provocative, inspiring monthly discussions on whats to come, the challenges we face, and how to communicate our solutions artistically. <br>Particularly interested in any makers who would like to collaborate on a public group exhibition/event in fall 2018.</p>"
San Francisco Justice for All,"<p>Launch a Ballot Initiative to prohibit California from budgeting for the State's Public Defenders Offices. California jails have become a big business, discriminating against specific minority groups and economic classes. California's state and county governments consistently starve the Public Defender's Offices for funds so the Prosecutors Office can get the convictions and plea bargains they want. It's not fair for the defense to be controlled by the same boss as the prosecutor. If California refuses to pay for the Public Defenders Offices then the Federal Government will have no choice but to step in. Let's make it happen through a Ballot Initiative for a California Constitutional Amendment. More money and independent leadership for the state's Public Defenders Offices will be an important step towards the American promise of freedom and justice for all.</p>"
Bay Area Friends of Our Children's Trust,"<p>This Meetup is for Bay Area people who are involved, or want to be involved, in raising awareness and supporting the 21 youth who are suing the U.S. government for the right to a stable climate and a healthy atmosphere for all present and future generations, through their constitutional climate lawsuit, called Juliana v U.S. The meet up will introduce and connect those in the Bay Area who are working on the case and help to connect, support and strategize local efforts. The agendas will be determined by the group in coordination with Our Children's Trust.</p>"
San Francisco Filipino Young Democrats,"<p>San Francisco Filipino Young Democrats strives to get young Filipino democrats into electoral politics as well as advocate's for our community needs, and supports other political ambitions.</p>"
Libertarian Party of Santa Cruz County,"<p>This is the official Meetup of the Libertarian Party of Santa Cruz County. We meet monthly to further the Libertarian viewpoint. All are welcome for civil discussion and encouraged to join the party of principal. Libertarians believe in individual governance, accountability, and charity.</p>"
Financial Feminists,"<p>We are a group of activists who convene regularly to inspire one another, share information, and strategically address gender-based inequality in the financial (banking, lending, investment, insurance, etc.) industry.</p>"
Folsom stop gun violence Meetup,"<p>This Meetup is created for all who would like to come together regardless of political views/affiliations ,share ideas and create solutions to stop gun violence in this country. It took the outrage, fear and tears of high school children to finally get our leaders to listen and start a serious conversation. Let's lend our outrage,frustration and voices with them to find a way to end mass shootings.</p>"
March For Our Lives,"<p>This march is to support victims of gun violence, we hope the march and rally will inspire concrete legislative outcomes. School safety is not a political issue. There cannot be two sides to doing everything in our power to ensure the lives and futures of children who are at risk of dying when they should be learning, playing, and growing. The mission and focus of March For Our Lives is to demand that a comprehensive and effective bill be brought before Congress to address these gun issues.</p>"
Action SF,"<p>Anyone who wants to act to counter the GOP/Trump agenda should join. Action SF is a neighborhood movement encouraging political participation, resistance &amp; action. We meet in Noe Valley. Most meetings are a mixture of action, planning for action, and discussion. Because we small, it's easy to make your own voice heard. Our actions include education, pressuring Members of Congress, and partnering with other resist groups to win the 2018 elections. We work closely with other organizations like Stand Up San Francisco, SwingLeft San Francisco, and Democracy Action. </p>"
Mountain View Cemetery Families and Friends,"<p>We are families and friends of Mountain View Cemetery.</p> 
<p>We want to ensure that Mountain View Cemetery is a place of peace, dignity and respect for our loved ones.</p> 
<p>We will work to hold management and the board of directors accountable to the mission of Mountain View Cemetery.</p>"
#Resist El Dorado Hills,"<p>Our group meets monthly featuring excellent speakers with the goal of enabling constituents to resist Trump/GOP extremist agenda by engaging elected officials/influenceres by phone, written communcations, office visits, town halls, soc media, voter education and boycotts.</p>"
Placerville Conservatives Meetup,"<p>Looking for like minded conservatives, moderates, tea partiers, libertarians, patriots&nbsp;wanting to get more involved in preventing the Liberal Democrats from further destroying our State and our Country.</p>
<p> <br></p>"
Socialist Republic Of Solano,"<p>This meetup is for socialist who want to make a change to this destructive capitalist society; that is slowly killing the working class,with the increase in rent,job outsourcing and the endless wars that this capital system continues to produce.</p>"
The Bay Area's Left-Wing Community,"<p>We call for all progressive forces to join our community and discussion group. We will host various events, study circles, dinner nights, book club and much more depending on the likes of our members.</p>
<p>Everybody is welcome! Hardcore communists, rebellious anarchists, disciplined or democratic socialists, curious left-leanings of all kinds, shapes or forms. Members of all parties, movements, ages, genders and sexual orientations are accepted and warmly welcomed! Come join us in the sun!</p>"
Politically Inspired Book Club,"<p>Interested in human rights and social justice? Unsure as to the direction of our political, social and economic institutions?</p>
<p>And are you looking for fellow humans to meet and encourage learning and help inspire change?</p>
<p>In this book club, we encourage each other to learn more, discuss ideas, challenge each other and teach each other. Together we explore nonfiction, memoir and fiction books that we collectively choose. We may also follow up our book club meeting with a tea or a beer down the street.</p>
<p>We meet in cafes or bookstores in the Mountain View/Palo Alto area. &nbsp;Our go-to for the monthly book meeting is Books Inc, 301 Castro St, Mountain View- their staff have been very accommodating! &nbsp;You can buy our monthly books from our book club webpage on their website, http://www.booksinc.net/politcally-inspired-book-club</p>
<p>The environment we hold for our discussions is open and compassionate. Recognizing and honoring the different beliefs and political viewpoints, and seeking best to understand and explore. Six principles for dialogue:</p>
<p>6 principles common to most dialogue and circle groups guide the conversations: <br> . Suspend judgment as best you can <br> . Respect one another <br> . Seek to understand rather than persuade <br> . Invite and honor diversity of opinion <br> . Speak what has personal heart and meaning <br> . Go for honesty and depth without going on and on</p>
<p>Let's get Inspired!</p>"
We Vote Oakland,"<p>Join fellow political junkies as we discuss the current state of get-out-the-vote and social voter guide technology. Discuss how we can collectively break down barriers to voting, educate and empower the modern voter, and actively work to revitalize democracy. Network with other impassioned individuals to share and discuss local efforts to increase civic engagement. Events will include an orientation describing what we are currently working on, and offer ways you can help.</p>
<p>We Vote is a volunteer-driven movement that is building an open platform for citizens to create and share personal voter guides that aggregate information and opinions, across their social networks. The We Vote platform will educate citizens and bring social collaboration to the process of making voting decisions. For more information please see http://www.WeVoteUSA.org</p>
<p>We are volunteer designers, engineers, thought leaders, political junkies, and good citizens. We contribute our time and passion because we feel political decisions should be made following clear-headed conversations as opposed to through epic media battles, cast in terms of good versus evil.</p>
<br>"
Let us fix our Rotten Justice System,"<p>Are you of the opinion 1. America has a legal system but not a Justice system ?</p> 
<p>2. Are you disgusted by Stanford rapist getting away with 3 months in prison while people are serving longer time for smoking weed ?</p> 
<p>3. Are you disgusted by the racial discrimination in our Justice system and that black men are shot and killed for no reason or imprisoned disproportionately ?</p> 
<p>4. Are you disgusted with all those men that call themselves public prosecutor's and talk about being tough on crime but who routinely over charge and force people to plead guilty to crimes they might not have committed just to improve their ratings ?</p> 
<p>5. Are you of the opinion America's criminal justice system is completely broken ?</p> 
<p>6. Have you or any of your friend's and family been affected by the corrupt Judges and total miscarriage of Justice ?</p> 
<p>7. Do you think American Justice system is run by greedy attorney's and there is no Justice ?</p> 
<p>Do you want to do something about it ?</p> 
<p>Let us join hands and bring some Justice in America.</p> 
<p>There are a lot of organizations but we need more People Power.</p>"
Placer Voices United #indivisible #resist,"<p>This is a grassroots group that will meet regularly to review Trump/right-wing policies in order to present our thoughts and feelings to our local Congressional Reps. Want to do something about the current political climate, but you feel powerless? Then let's get together and do something that matters.</p>
<p>You can also find us at <a href=""https://www.facebook.com/groups/placercountyprogressivesagainsttrump/"">https://www.facebook.com/groups/placercountyprogressivesagainsttrump/</a></p>"
Single Payer San Benito County Health Care Meetup,"<p>If you want to change our health care system, please join us. We are San Benito county residents and advocates for a single payer health care system. Most developed nations like Canada France Germany Japan Taiwan and other use a single payer system. It lower the cost of prescription drugs and health care, Has no deductibles, no co-pays, everyone is covered under the same policy. To many people with full time jobs and employee provided health insurance are forced into bankruptcy because they got sick and could not pay their medical bills. Other developed nations look at the United State and ask ""how can they let it happen?"" We are not sitting idly by and letting it happen. We are organizing a grass roots group that will change the health care system. Please join us because you can make difference.</p>"
The Pink Hat Resistance,"<p>The Pink Hat Resistance is a Women's March inspired women's political action and empowerment group. We have monthly meetings on the third Monday of every month at 6:00 PM on the Stanford campus. Currently composed of women in the Stanford staff community, I'd like to open membership up to other women in the community. <br>For those who cannot attend the meetings, you can still sign up for our weekly newsletter and participate on group projects. Our newsletter has updates on club activities, summaries of the meetings, the meeting packets (with lots of great info and tips), info on Bay area protests and rallies, links to fascinating news &amp; opinion articles I recommend, and some good new items to celebrate! <br>We also have a secret Facebook group where we post relevant articles for discussion. <br>You can check out our website at: www.thepinkhatresistance.com</p>"
The 15/30 Post Card Activists,"<p>Are you upset with the things happening in congress? Do you want to get your voice heard? This is the group for you! Two times a month (around the 15th and 30th) we will meet to write political post cards to our senators, representatives, president, and cabinet members to tell them what we would like! Want them to vote against a piece of legislation? Want to vote for a piece of legislation? Want to tell them something else?</p> 
<p>I will have an action sheet ready for you to use, that will include action items, description of items, background information, sample texts, as well as all the addresses you need! These events can be overwhelming at first, but I will be there to help you, and with every post card written, it gets a little bit easier. Once you are done, you can give the post cards back to me, or take them yourself, and I will drop them off at the post office, and our voices will be heard!</p>"
March For Our Lives,"<p>This march is to support victims of gun violence, we hope the march and rally will inspire concrete legislative outcomes. School safety is not a political issue. There cannot be two sides to doing everything in our power to ensure the lives and futures of children who are at risk of dying when they should be learning, playing, and growing. The mission and focus of March For Our Lives is to demand that a comprehensive and effective bill be brought before Congress to address these gun issues.</p>"
Mountain View Cemetery Families and Friends,"<p>We are families and friends of Mountain View Cemetery.</p> 
<p>We want to ensure that Mountain View Cemetery is a place of peace, dignity and respect for our loved ones.</p> 
<p>We will work to hold management and the board of directors accountable to the mission of Mountain View Cemetery.</p>"
Sac Feminists,"<p>Feminists come here to connect, find safe space, educate themselves, and educate each other on feminist issues. <br></p>
<p>We put on unique events for members of Sac Feminists, and we also cross-post events from other local progressive organizations so that members can see a lot of opportunities to get involved and connect. <br></p>
<p>If you have an idea for a meetup, get in touch with the organizers. <br></p>
<p>(In order to be approved as a member, you must answer the profile questions and have a picture of your face in your profile.) <br></p>
<p> <br></p>
<p> <br></p>"
Association for India's Development Bay Area Chapter,"<p>We are a group of people compassionate about the problems and issues that many of the underprivileged people in India face everyday and we believe that with our help they can overcome the problems. We support grassroots non-profits in India in all spheres including education, environment, agriculture, women's rights as we believe that all these problems are interconnected and they need to be addressed holistically. Join us if you share the same belief and want to contribute some of your personal time towards this.</p>
<p>Association for India's Development is the organization we are part of which has close to 40 chapters across USA. Visit <a href=""http://www.aidindia.org"" class=""linkified"">http://www.aidindia.org</a> to know more about AID and <a href=""http://bayarea.aidindia.org"" class=""linkified"">http://bayarea.aidindia.org</a> to know more about the Bay Area Chapter.</p>"
East Bay Feminist Book Club,"<p><span>The </span><a href=""https://www.facebook.com/groups/1557049517861114/"">East Bay Feminist Book Club</a><span> is a social group open to all people who want to expand their knowledge about feminism and women's rights issues. We will read from a variety of feminist camps and persectives, including 2nd wave, 3rd wave, Black feminism, lesbian feminism, trans* perspectives, riot grrrl movement, third world feminism, etc. We'll also read things that aren't directly about feminism, but are interesting to read and discuss from a feminist lens.&nbsp;</span><br></p>
<p>Our meetings are a space for open and respectful discussions of different viewpoints. Sometimes discussions stay strictly on the texts; other times, readings lend themselves to more personal discussions. Please check out our <a href=""http://www.meetup.com/East-Bay-Feminist-Book-Club/pages/Discussion_Guidelines_-_work_in_progress"">Discussion-Guideline-in-progress</a> before attending meetings, and feel free offer suggestions and critiques.&nbsp;</p>
<p>On readings: we tend to alternate between shorter readings (articles, short stories, essays, etc.) and longer pieces (books, plays, graphic novels, etc.). Care is taken to select readings that represent a broad range of genres, subjects, schools of thought, written by folks of varying backgrounds. We have a list of possible books, articles, etc., to read--please add to it&nbsp;<a href=""http://www.meetup.com/East-Bay-Feminist-Book-Club/pages/Book_List_-_please_add_your_own%21"">here</a>&nbsp;or PM your friendly neighborhood moderator with suggestions!</p>
<p><span>RSVP's for individual book meetup events will be closed at 25 to make sure they stay small enough that everyone who wishes to has a chance to speak. We have strictly social meetups (no reading, just chatting and often booze) about once a month, and occasionally we meetup for other relevant events (talks, movies, etc.). Ideas for movies/plays/happy hour spots/ etc. are welcome! Members are also encouraged to host events that interest them. Ping me for details!&nbsp;</span> <br></p>
<p>Dues are $5/year and can be paid through meetup, or directly to your friendly neighborhood mod (Hope) in person or through Venmo (@HopeRosalind). Dues go to paying meetup.com the fees to run the group.&nbsp;</p>
<p>Members are invited to join our <a href=""https://www.facebook.com/groups/1557049517861114/"">facebook group</a> for discussion of all things feminist. &lt;p&gt; Shout-out to the <a href=""http://www.meetup.com/San-Diego-Feminist-Book-Group/"">San Diego Feminist Book Group</a>&nbsp;who inspired the group!</p>"
International Socialist Organization of SF,"<p>Join our group that meets in person every Wednesday night. We are a group of Marxists organizing for a better world. We debate, we study, we protest. #blacklivesmatter #freepalestine #wearethe99% #EqualRights also check out: <a href=""http://socialistworker.org"">socialistworker.org</a> <a href=""http://isreview.org"">isreview.org</a> <a href=""http://norcalsocialism.org"">norcalsocialism.org</a> <a href=""http://haymarketbooks.org"">haymarketbooks.org</a></p> 
<p>[NOTE: you are welcome to RSVP to our events here, but that's optional; you can always just show up. <i>Note that meet-up.com RSVPs do not reflect real attendance</i>. Most meetings have between 15-30 participants or more!] &lt;br&gt;</p>"
Amer Assoc of University Women (AAUW) - Sunnyvale/Cupertino,"<p>AAUW, American Association of University Women, is an organization that promotes education, philanthropy and equity for all women and girls.</p> 
<p>AAUW gives scholarships to local middle school girls who are interested in math and science. Members will share information about other various AAUW programs such as post-graduate scholarships/fellowships, national legal advocacy, public policy for women, and other fun activities such as book, bridge, lunch and dinner groups plus more. </p> 
<p>We have a variety of programs to address the interests of the AAUW community and the public is welcome to all events.</p> 
<p>For further information contact Peggy Maibaum, Peggyapcm@gmail.com or 408-358-2913.</p>"
Reproductive Justice Reading Group,"<p>We are a reading group dedicated to understanding how our culture oppresses women by controlling their reproductive lives. Issues to be discussed include access to sex education, contraception and abortion, as well as reproductive healthcare, parental leave, and affordable childcare. We will also discuss social pressures to have or not have children, silence around abortion, miscarriage and infertility, and pressures upon women to engage in ever-more ""intensive mothering."" We will explore these issues from a variety of perspectives, acknowledging that that they impact women of different racial identities, classes, and sexual identities in different ways. We also acknowledge that different groups of women have vastly different histories of experiencing reproductive oppression.</p>"
#Resist: Salinas,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Monterey,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Burlingame,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Daly City,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Los Altos,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Menlo Park,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Mountain View,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Pacifica,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Redwood City,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: San Bruno,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: San Carlos,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: South San Francisco,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Sunnyvale,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
